Model DPs Scenarios Production_units Trading_timeslots Elapsed_time Number_of_variables Number_of_linear_constraints Number_of_SOS_constraints Number_of_quadratic_constraints Number_of_non-zero_coefficients_in_the_constraint_matrix Number_of_non-zero_quadratic_objective_terms Number_of_non-zero_terms_in_quadratic_constraints Number_of_integer_variables Number_of_binary_variables Number_of_variables_with_piecewise-linear_objective_functions. Model_name Model_sense_(minimization_or_maximization) Constant_offset_for_objective_function Objective_value_for_current_solution
2 5 10 1 2 0.6075563430786133 1650 1855 0 0 3000 0 0 0 0 0 itp -1 0.0 156834.73868774672
3 5 10 1 3 0.8076081275939941 3300 2965 0 0 5220 0 0 0 0 0 itp -1 0.0 379269.40923321794
4 5 10 1 5 1.2420814037322998 8400 5965 0 0 11670 0 0 0 0 0 itp -1 0.0 604401.1554462701
5 5 10 2 2 0.6305992603302002 1700 1905 0 0 3250 0 0 0 0 0 itp -1 0.0 229469.23857775592
6 5 10 2 3 0.7426052093505859 3350 3015 0 0 5470 0 0 0 0 0 itp -1 0.0 331132.44443899643
7 5 10 2 5 1.2444250583648682 8450 6015 0 0 11920 0 0 0 0 0 itp -1 0.0 629807.3107491285
8 5 10 3 2 0.5925188064575195 1750 1955 0 0 3500 0 0 0 0 0 itp -1 0.0 136196.6450141457
9 5 10 3 3 0.7486782073974609 3400 3065 0 0 5720 0 0 0 0 0 itp -1 0.0 342820.31681234855
10 5 10 3 5 1.285867691040039 8500 6065 0 0 12170 0 0 0 0 0 itp -1 0.0 628404.1742489326
11 5 10 5 2 0.5716233253479004 1850 2055 0 0 4000 0 0 0 0 0 itp -1 0.0 220807.7710078955
12 5 10 5 3 0.7359428405761719 3500 3165 0 0 6220 0 0 0 0 0 itp -1 0.0 362159.8621145666
13 5 10 5 5 1.2499384880065918 8600 6165 0 0 12670 0 0 0 0 0 itp -1 0.0 597244.3686932356
14 5 40 1 2 1.5595874786376953 6600 7555 0 0 12270 0 0 0 0 0 itp -1 0.0 133319.20456094784
15 5 40 1 3 2.302602767944336 13200 12295 0 0 21750 0 0 0 0 0 itp -1 0.0 277305.13655048027
16 5 40 1 5 4.290388345718384 33600 25015 0 0 48990 0 0 0 0 0 itp -1 0.0 533695.6646398822
17 5 40 2 2 4.068828582763672 6800 7755 0 0 13270 0 0 0 0 0 itp -1 0.0 123405.65477320261
18 5 40 2 3 2.692742109298706 13400 12495 0 0 22750 0 0 0 0 0 itp -1 0.0 312317.6397189467
19 5 40 2 5 5.610250234603882 33800 25215 0 0 49990 0 0 0 0 0 itp -1 0.0 599762.7766109331
20 5 40 3 2 1.567134141921997 7000 7955 0 0 14270 0 0 0 0 0 itp -1 0.0 145387.60547664666
21 5 40 3 3 2.3712079524993896 13600 12695 0 0 23750 0 0 0 0 0 itp -1 0.0 291406.6724439511
22 5 40 3 5 4.328085422515869 34000 25415 0 0 50990 0 0 0 0 0 itp -1 0.0 563633.4059187516
23 5 40 5 2 1.6432712078094482 7400 8355 0 0 16270 0 0 0 0 0 itp -1 0.0 194028.83810999588
24 5 40 5 3 2.461106061935425 14000 13095 0 0 25750 0 0 0 0 0 itp -1 0.0 315721.48977760004
25 5 40 5 5 4.298931837081909 34400 25815 0 0 52990 0 0 0 0 0 itp -1 0.0 524423.4929911963
26 5 70 1 2 2.5588948726654053 11550 13255 0 0 21540 0 0 0 0 0 itp -1 0.0 174826.6544576299
27 5 70 1 3 4.00578236579895 23100 21565 0 0 38160 0 0 0 0 0 itp -1 0.0 320649.86260344536
28 5 70 1 5 7.439802169799805 58800 44125 0 0 86430 0 0 0 0 0 itp -1 0.0 585774.976954744
29 5 70 2 2 2.6020219326019287 11900 13605 0 0 23290 0 0 0 0 0 itp -1 0.0 145270.04923686906
30 5 70 2 3 4.081478595733643 23450 21915 0 0 39910 0 0 0 0 0 itp -1 0.0 298859.1690890435
31 5 70 2 5 7.38872504234314 59150 44475 0 0 88180 0 0 0 0 0 itp -1 0.0 595580.136160198
32 5 70 3 2 2.6106162071228027 12250 13955 0 0 25040 0 0 0 0 0 itp -1 0.0 176141.64664074167
33 5 70 3 3 4.049546718597412 23800 22265 0 0 41660 0 0 0 0 0 itp -1 0.0 389510.16113811126
34 5 70 3 5 7.358827352523804 59500 44825 0 0 89930 0 0 0 0 0 itp -1 0.0 523837.6118280869
35 5 70 5 2 2.6095993518829346 12950 14655 0 0 28540 0 0 0 0 0 itp -1 0.0 129255.26929089587
36 5 70 5 3 4.006558179855347 24500 22965 0 0 45160 0 0 0 0 0 itp -1 0.0 296282.78390360984
37 5 70 5 5 7.354041814804077 60200 45525 0 0 93430 0 0 0 0 0 itp -1 0.0 559266.7775560364
38 5 100 1 2 6.758673191070557 16500 18955 0 0 30810 0 0 0 0 0 itp -1 0.0 216852.57553250695
39 5 100 1 3 5.654017210006714 33000 30895 0 0 54690 0 0 0 0 0 itp -1 0.0 277338.2733175457
40 5 100 1 5 10.510621547698975 84000 63415 0 0 124230 0 0 0 0 0 itp -1 0.0 551343.8370589463
41 5 100 2 2 3.9003641605377197 17000 19455 0 0 33310 0 0 0 0 0 itp -1 0.0 152848.77867765856
42 5 100 2 3 5.792840957641602 33500 31395 0 0 57190 0 0 0 0 0 itp -1 0.0 326000.89063314075
43 5 100 2 5 10.493091106414795 84500 63915 0 0 126730 0 0 0 0 0 itp -1 0.0 542337.3845240286
44 5 100 3 2 3.5921483039855957 17500 19955 0 0 35810 0 0 0 0 0 itp -1 0.0 179858.0930773968
45 5 100 3 3 5.549219608306885 34000 31895 0 0 59690 0 0 0 0 0 itp -1 0.0 369030.44520155876
46 5 100 3 5 10.464459419250488 85000 64415 0 0 129230 0 0 0 0 0 itp -1 0.0 529063.6906720288
47 5 100 5 2 3.660123348236084 18500 20955 0 0 40810 0 0 0 0 0 itp -1 0.0 143410.01880311052
48 5 100 5 3 5.69091534614563 35000 32895 0 0 64690 0 0 0 0 0 itp -1 0.0 332476.13845723297
49 5 100 5 5 10.622467517852783 86000 65415 0 0 134230 0 0 0 0 0 itp -1 0.0 545828.8457627664
50 10 10 1 2 0.9513061046600342 3300 3710 0 0 6010 0 0 0 0 0 itp -1 0.0 346093.2873854348
51 10 10 1 3 1.3119010925292969 6600 5930 0 0 10450 0 0 0 0 0 itp -1 0.0 515694.61963597796
52 10 10 1 5 2.9347922801971436 16800 11930 0 0 23350 0 0 0 0 0 itp -1 0.0 1242714.5554649471
53 10 10 2 2 0.9890134334564209 3400 3810 0 0 6510 0 0 0 0 0 itp -1 0.0 405072.5831253255
54 10 10 2 3 1.3737366199493408 6700 6030 0 0 10950 0 0 0 0 0 itp -1 0.0 668131.7779089662
55 10 10 2 5 2.2364888191223145 16900 12030 0 0 23850 0 0 0 0 0 itp -1 0.0 1209669.347105836
56 10 10 3 2 0.9257516860961914 3500 3910 0 0 7010 0 0 0 0 0 itp -1 0.0 402620.71022906405
57 10 10 3 3 1.3146181106567383 6800 6130 0 0 11450 0 0 0 0 0 itp -1 0.0 563410.383162239
58 10 10 3 5 2.2629849910736084 17000 12130 0 0 24350 0 0 0 0 0 itp -1 0.0 1130690.7988912195
59 10 10 5 2 0.9454777240753174 3700 4110 0 0 8010 0 0 0 0 0 itp -1 0.0 336289.7300785527
60 10 10 5 3 1.3592817783355713 7000 6330 0 0 12450 0 0 0 0 0 itp -1 0.0 579455.9941598474
61 10 10 5 5 2.2329916954040527 17200 12330 0 0 25350 0 0 0 0 0 itp -1 0.0 1159346.2367739582
62 10 40 1 2 2.968202590942383 13200 15110 0 0 24580 0 0 0 0 0 itp -1 0.0 386058.775234092
63 10 40 1 3 4.48709774017334 26400 24590 0 0 43540 0 0 0 0 0 itp -1 0.0 573271.8760925075
64 10 40 1 5 8.289293766021729 67200 50030 0 0 98020 0 0 0 0 0 itp -1 0.0 1050821.9674424357
65 10 40 2 2 2.9988248348236084 13600 15510 0 0 26580 0 0 0 0 0 itp -1 0.0 341332.02541188645
66 10 40 2 3 4.582501173019409 26800 24990 0 0 45540 0 0 0 0 0 itp -1 0.0 600902.4660932712
67 10 40 2 5 8.32827377319336 67600 50430 0 0 100020 0 0 0 0 0 itp -1 0.0 1128925.5105169918
68 10 40 3 2 2.8689210414886475 14000 15910 0 0 28580 0 0 0 0 0 itp -1 0.0 390509.7761333081
69 10 40 3 3 4.535800457000732 27200 25390 0 0 47540 0 0 0 0 0 itp -1 0.0 557429.6360922572
70 10 40 3 5 8.429229974746704 68000 50830 0 0 102020 0 0 0 0 0 itp -1 0.0 1156923.395406722
71 10 40 5 2 2.9919257164001465 14800 16710 0 0 32580 0 0 0 0 0 itp -1 0.0 366246.34431489377
72 10 40 5 3 4.536858797073364 28000 26190 0 0 51540 0 0 0 0 0 itp -1 0.0 611123.129751972
73 10 40 5 5 8.590364456176758 68800 51630 0 0 106020 0 0 0 0 0 itp -1 0.0 1118582.2163091337
74 10 70 1 2 4.976895332336426 23100 26510 0 0 43150 0 0 0 0 0 itp -1 0.0 341840.6752722895
75 10 70 1 3 7.7490925788879395 46200 43130 0 0 76390 0 0 0 0 0 itp -1 0.0 677502.7003719098
76 10 70 1 5 14.40026307106018 117600 88250 0 0 172930 0 0 0 0 0 itp -1 0.0 1039874.77357902
77 10 70 2 2 4.989516973495483 23800 27210 0 0 46650 0 0 0 0 0 itp -1 0.0 287274.9692638058
78 10 70 2 3 7.897397041320801 46900 43830 0 0 79890 0 0 0 0 0 itp -1 0.0 551128.9364297809
79 10 70 2 5 14.470367431640625 118300 88950 0 0 176430 0 0 0 0 0 itp -1 0.0 1041487.2429682036
80 10 70 3 2 4.937496900558472 24500 27910 0 0 50150 0 0 0 0 0 itp -1 0.0 302369.2439574251
81 10 70 3 3 7.7400736808776855 47600 44530 0 0 83390 0 0 0 0 0 itp -1 0.0 553780.5685694208
82 10 70 3 5 14.60863709449768 119000 89650 0 0 179930 0 0 0 0 0 itp -1 0.0 992622.3008568845
83 10 70 5 2 5.042753219604492 25900 29310 0 0 57150 0 0 0 0 0 itp -1 0.0 367270.16044017527
84 10 70 5 3 7.949259042739868 49000 45930 0 0 90390 0 0 0 0 0 itp -1 0.0 635043.6875525346
85 10 70 5 5 14.565776586532593 120400 91050 0 0 186930 0 0 0 0 0 itp -1 0.0 1057616.987892871
86 10 100 1 2 6.836283922195435 33000 37910 0 0 61720 0 0 0 0 0 itp -1 0.0 304628.03864860826
87 10 100 1 3 10.937952756881714 66000 61790 0 0 109480 0 0 0 0 0 itp -1 0.0 552630.6350267555
88 10 100 1 5 20.57400918006897 168000 126830 0 0 248560 0 0 0 0 0 itp -1 0.0 1051633.6398073977
89 10 100 2 2 6.87087607383728 34000 38910 0 0 66720 0 0 0 0 0 itp -1 0.0 365045.57836847473
90 10 100 2 3 10.904075860977173 67000 62790 0 0 114480 0 0 0 0 0 itp -1 0.0 476670.6012068821
